STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/1/1970,80,100,,,,0,3,0,0,,30,23,,12,,,,,45,,,,,,12.1,,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/2/1970,20,30,,,,0,75,0,0,,34,18,,420,,,,,315,,,,,,14.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/3/1970,80,100,,,,0.04,0,0.4,0,,34,24,,0,,,,,315,,,,,,15,,,,1,,,,1,,,,,,,1,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/4/1970,0,0,,,,0,100,0,0,,28,19,,564,,,,,315,,,,,,14.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/5/1970,50,60,,,,0,66,0,0,,35,16,,372,,,,,270,,,,,,16.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/6/1970,80,90,,,,0.1,0,2.5,0,,36,27,,0,,,,,45,,,,,,19,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/7/1970,100,100,,,,0.17,0,2.4,4,,30,21,,0,,,,,45,0.2,,,,,25.1,1,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/8/1970,40,20,,,,0,80,0,5,,23,2,,456,,,,,270,0.3,,,,,23.9,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/9/1970,10,10,,,,0,100,0,5,,9,1,,570,,,,,315,0.2,,,,,21.9,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/10/1970,0,0,,,,0,100,0,5,,25,5,,576,,,,,315,0.2,,,,,25.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/11/1970,60,80,,,,0.01,83,0.1,4,,26,14,,474,,,,,270,0.2,,,,,15,,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/12/1970,90,100,,,,0.05,0,0.7,4,,29,20,,0,,,,,270,0.3,,,,,14.1,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/13/1970,0,0,,,,0,100,0,4,,30,17,,576,,,,,270,0.3,,,,,21,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/14/1970,0,0,,,,0,100,0,2,,25,13,,576,,,,,315,0.3,,,,,17.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/15/1970,30,50,,,,0,100,0,2,,28,12,,582,,,,,360,0.2,,,,,13,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/16/1970,30,30,,,,0,96,0,2,,34,14,,558,,,,,270,0.2,,,,,11,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/17/1970,90,100,,,,0.24,84,0,1,,43,26,,492,,,,,225,,,,,,12.1,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/18/1970,90,100,,,,0.03,7,0,0,,41,24,,42,,,,,360,,,,,,19,1,1,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/19/1970,30,60,,,,0,70,0,0,,24,15,,408,,,,,360,,,,,,17,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/20/1970,90,100,,,,0.07,24,1.1,0,,22,14,,138,,,,,90,,,,,,8.9,1,,,,,,,1,,,,,,,,,1,,,,
